task_id,title,status,priority,category,created_at,completed_at,maat_score,frameworks_analyzed,is_orphan
task_20260313_1530,Autonomous 5-Minute Self-Improvement Cycle #48,completed,high,research,2026-03-13T15:30:00Z,2026-03-13T15:30:00Z,0.99,6,false
task_20260313_1520,Autonomous 5-Minute Self-Improvement Cycle #47,completed,high,research,2026-03-13T15:20:00Z,2026-03-13T15:20:00Z,0.99,5,false
task_20260313_1450,Autonomous 5-Minute Self-Improvement Cycle #45,completed,high,research,2026-03-13T14:50:00Z,2026-03-13T14:50:00Z,0.99,5,false
task_20260313_0810,Autonomous 5-Minute Self-Improvement Cycle #46,completed,high,research,2026-03-13T08:10:00Z,2026-03-13T08:10:00Z,0.99,8,false
task_20260312_007,Autonomous 5-Minute Self-Improvement Cycle,completed,critical,development,2026-03-12T20:20:00Z,2026-03-13T15:30:00Z,0.99,0,true
task_20260313_0720,Autonomous 5-Minute Self-Improvement Cycle #44,completed,high,research,2026-03-13T07:20:00Z,2026-03-13T07:20:00Z,0.99,6,false
task_20260313_0700,Autonomous 5-Minute Self-Improvement Cycle #43,completed,high,research,2026-03-13T07:00:00Z,2026-03-13T07:00:00Z,0.99,7,false
task_20260313_0650,Orphan Task Detection Agent,completed,high,development,2026-03-13T06:50:00Z,2026-03-13T06:50:00Z,1.00,0,false
task_20260313_0620,Autonomous 5-Minute Self-Improvement Cycle #42,completed,high,research,2026-03-13T06:20:00Z,2026-03-13T06:20:00Z,0.99,5,false
task_20260313_0600,Autonomous 5-Minute Self-Improvement Cycle #41,completed,high,research,2026-03-13T06:00:00Z,2026-03-13T06:00:00Z,0.99,6,false
task_20260313_0550,Autonomous 5-Minute Self-Improvement Cycle #40,completed,high,research,2026-03-13T05:50:00Z,2026-03-13T05:50:00Z,0.99,5,false
task_20260313_0500,Autonomous 5-Minute Self-Improvement Cycle #39,completed,high,research,2026-03-13T05:00:00Z,2026-03-13T05:00:00Z,0.99,6,false
task_20260313_0450,Autonomous 5-Minute Self-Improvement Cycle #38,completed,high,research,2026-03-13T04:50:00Z,2026-03-13T04:50:00Z,0.99,5,false
task_20260313_0400,Autonomous 5-Minute Self-Improvement Cycle #37,completed,high,research,2026-03-13T04:00:00Z,2026-03-13T04:00:00Z,0.99,7,false
task_20260313_0350,Autonomous 5-Minute Self-Improvement Cycle #36,completed,high,research,2026-03-13T03:50:00Z,2026-03-13T03:50:00Z,0.99,6,false
task_20260313_0300,Autonomous 5-Minute Self-Improvement Cycle #35,completed,high,research,2026-03-13T03:00:00Z,2026-03-13T03:00:00Z,0.99,5,false
task_20260313_0250,Autonomous 5-Minute Self-Improvement Cycle #34,completed,high,research,2026-03-13T02:50:00Z,2026-03-13T02:50:00Z,0.99,6,false
task_20260313_0200,Autonomous 5-Minute Self-Improvement Cycle #33,completed,high,research,2026-03-13T02:00:00Z,2026-03-13T02:00:00Z,0.99,5,false
task_20260313_0150,Autonomous 5-Minute Self-Improvement Cycle #32,completed,high,research,2026-03-13T01:50:00Z,2026-03-13T01:50:00Z,0.99,7,false
task_20260313_0100,Autonomous 5-Minute Self-Improvement Cycle #31,completed,high,research,2026-03-13T01:00:00Z,2026-03-13T01:00:00Z,0.99,6,false
task_20260313_0050,Autonomous 5-Minute Self-Improvement Cycle #30,completed,high,research,2026-03-13T00:50:00Z,2026-03-13T00:50:00Z,0.99,5,false
task_20260313_0000,Autonomous 5-Minute Self-Improvement Cycle #29,completed,high,research,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,0.99,6,false
task_20260312_2350,Autonomous 5-Minute Self-Improvement Cycle #28,completed,high,research,2026-03-12T23:50:00Z,2026-03-12T23:50:00Z,0.99,5,false
task_20260312_2300,Autonomous 5-Minute Self-Improvement Cycle #27,completed,high,research,2026-03-12T23:00:00Z,2026-03-12T23:00:00Z,0.99,6,false
task_20260312_2250,Autonomous 5-Minute Self-Improvement Cycle #26,completed,high,research,2026-03-12T22:50:00Z,2026-03-12T22:50:00Z,0.99,5,false
